kind-worker3,83m,1%,313Mi,3%,
idx,27,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,28,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,29,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,30,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,31,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,32,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,33,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,34,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,35,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,36,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,37,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,38,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1040m,13%,1394Mi,17%,
kind-worker,71m,0%,329Mi,4%,
kind-worker2,60m,0%,386Mi,4%,
kind-worker3,102m,1%,325Mi,4%,
idx,39,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,40,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,41,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,42,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,43,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,44,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,45,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,46,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,47,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,48,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1054m,13%,1390Mi,17%,
kind-worker,115m,1%,314Mi,3%,
kind-worker2,75m,0%,385Mi,4%,
kind-worker3,65m,0%,324Mi,4%,
idx,49,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,50,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,51,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,52,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,53,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,54,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
idx,55,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1047m,13%,1400Mi,17%,
kind-worker,37m,0%,314Mi,3%,
kind-worker2,62m,0%,386Mi,4%,
kind-worker3,47m,0%,322Mi,4%,
