NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,70,LOG_TIME,2024-01-14T03:03:57,2024-01-13T21:03:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,71,LOG_TIME,2024-01-14T03:03:58,2024-01-13T21:03:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,72,LOG_TIME,2024-01-14T03:03:59,2024-01-13T21:03:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,73,LOG_TIME,2024-01-14T03:04:00,2024-01-13T21:04:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,74,LOG_TIME,2024-01-14T03:04:01,2024-01-13T21:04:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,75,LOG_TIME,2024-01-14T03:04:02,2024-01-13T21:04:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,76,LOG_TIME,2024-01-14T03:04:03,2024-01-13T21:04:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,77,LOG_TIME,2024-01-14T03:04:04,2024-01-13T21:04:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,78,LOG_TIME,2024-01-14T03:04:05,2024-01-13T21:04:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1667m,20%,815Mi,10%,
kind-worker,33m,0%,356Mi,4%,
kind-worker2,64m,0%,349Mi,4%,
idx,79,LOG_TIME,2024-01-14T03:04:06,2024-01-13T21:04:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,80,LOG_TIME,2024-01-14T03:04:07,2024-01-13T21:04:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,81,LOG_TIME,2024-01-14T03:04:08,2024-01-13T21:04:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
idx,82,LOG_TIME,2024-01-14T03:04:09,2024-01-13T21:04:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1649m,20%,816Mi,10%,
kind-worker,33m,0%,357Mi,4%,
kind-worker2,61m,0%,350Mi,4%,
