kind-worker,41m,0%,311Mi,3%,
kind-worker2,74m,0%,321Mi,4%,
kind-worker3,112m,1%,311Mi,3%,
idx,62,LOG_TIME,2023-05-18T05:14:44,2023-05-18T00:14:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1094m,13%,864Mi,10%,
kind-worker,41m,0%,311Mi,3%,
kind-worker2,74m,0%,321Mi,4%,
kind-worker3,112m,1%,311Mi,3%,
idx,63,LOG_TIME,2023-05-18T05:14:45,2023-05-18T00:14:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,64,LOG_TIME,2023-05-18T05:14:46,2023-05-18T00:14:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,65,LOG_TIME,2023-05-18T05:14:47,2023-05-18T00:14:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,66,LOG_TIME,2023-05-18T05:14:48,2023-05-18T00:14:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,67,LOG_TIME,2023-05-18T05:14:49,2023-05-18T00:14:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,68,LOG_TIME,2023-05-18T05:14:50,2023-05-18T00:14:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,69,LOG_TIME,2023-05-18T05:14:51,2023-05-18T00:14:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1060m,13%,865Mi,10%,
kind-worker,139m,1%,315Mi,3%,
kind-worker2,84m,1%,321Mi,4%,
kind-worker3,141m,1%,315Mi,3%,
idx,70,LOG_TIME,2023-05-18T05:14:52,2023-05-18T00:14:52,-
