NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,33,LOG_TIME,2023-08-22T00:25:18,2023-08-21T19:25:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,34,LOG_TIME,2023-08-22T00:25:19,2023-08-21T19:25:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,35,LOG_TIME,2023-08-22T00:25:20,2023-08-21T19:25:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1308m,16%,841Mi,10%,
kind-worker,278m,3%,249Mi,3%,
kind-worker2,49m,0%,249Mi,3%,
kind-worker3,32m,0%,258Mi,3%,
idx,36,LOG_TIME,2023-08-22T00:25:21,2023-08-21T19:25:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1308m,16%,841Mi,10%,
kind-worker,278m,3%,249Mi,3%,
kind-worker2,49m,0%,249Mi,3%,
kind-worker3,32m,0%,258Mi,3%,
