NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,47,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,48,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,49,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,50,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,51,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,52,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,53,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,54,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,55,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,56,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1399Mi,17%,
kind-worker,180m,2%,350Mi,4%,
kind-worker2,54m,0%,272Mi,3%,
kind-worker3,43m,0%,259Mi,3%,
idx,57,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,58,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,59,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,60,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,61,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,62,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,63,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,64,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,65,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,66,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,67,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,68,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,69,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,70,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,71,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1246m,15%,1409Mi,17%,
kind-worker,125m,1%,354Mi,4%,
kind-worker2,54m,0%,271Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,72,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,73,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,74,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,75,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,76,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,77,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,78,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,79,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,80,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,81,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,82,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,83,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,84,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
idx,85,LOG_TIME,2023-04-24T04:39:29,2023-04-23T23:39:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1366m,17%,1413Mi,17%,
kind-worker,68m,0%,353Mi,4%,
kind-worker2,48m,0%,273Mi,3%,
kind-worker3,35m,0%,259Mi,3%,
