idx,41,LOG_TIME,2023-05-14T15:53:59,2023-05-14T10:53:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1094Mi,13%,
kind-worker,40m,0%,275Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,142m,1%,290Mi,3%,
idx,42,LOG_TIME,2023-05-14T15:54:00,2023-05-14T10:54:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1094Mi,13%,
kind-worker,40m,0%,275Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,142m,1%,290Mi,3%,
idx,43,LOG_TIME,2023-05-14T15:54:01,2023-05-14T10:54:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1094Mi,13%,
kind-worker,40m,0%,275Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,142m,1%,290Mi,3%,
idx,44,LOG_TIME,2023-05-14T15:54:02,2023-05-14T10:54:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1094Mi,13%,
kind-worker,40m,0%,275Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,142m,1%,290Mi,3%,
idx,45,LOG_TIME,2023-05-14T15:54:03,2023-05-14T10:54:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1094Mi,13%,
kind-worker,40m,0%,275Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,142m,1%,290Mi,3%,
idx,46,LOG_TIME,2023-05-14T15:54:04,2023-05-14T10:54:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,375m,4%,1094Mi,13%,
kind-worker,40m,0%,275Mi,3%,
kind-worker2,56m,0%,299Mi,3%,
kind-worker3,142m,1%,290Mi,3%,
idx,47,LOG_TIME,2023-05-14T15:54:05,2023-05-14T10:54:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,48,LOG_TIME,2023-05-14T15:54:06,2023-05-14T10:54:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,49,LOG_TIME,2023-05-14T15:54:07,2023-05-14T10:54:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,50,LOG_TIME,2023-05-14T15:54:08,2023-05-14T10:54:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,51,LOG_TIME,2023-05-14T15:54:09,2023-05-14T10:54:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,52,LOG_TIME,2023-05-14T15:54:10,2023-05-14T10:54:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,53,LOG_TIME,2023-05-14T15:54:11,2023-05-14T10:54:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,54,LOG_TIME,2023-05-14T15:54:12,2023-05-14T10:54:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,55,LOG_TIME,2023-05-14T15:54:13,2023-05-14T10:54:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,56,LOG_TIME,2023-05-14T15:54:14,2023-05-14T10:54:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,389m,4%,1094Mi,13%,
kind-worker,43m,0%,275Mi,3%,
kind-worker2,63m,0%,298Mi,3%,
kind-worker3,146m,1%,291Mi,3%,
idx,57,LOG_TIME,2023-05-14T15:54:15,2023-05-14T10:54:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,58,LOG_TIME,2023-05-14T15:54:16,2023-05-14T10:54:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,59,LOG_TIME,2023-05-14T15:54:17,2023-05-14T10:54:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,60,LOG_TIME,2023-05-14T15:54:18,2023-05-14T10:54:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,61,LOG_TIME,2023-05-14T15:54:19,2023-05-14T10:54:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,62,LOG_TIME,2023-05-14T15:54:20,2023-05-14T10:54:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,403m,5%,1090Mi,13%,
kind-worker,116m,1%,283Mi,3%,
kind-worker2,48m,0%,299Mi,3%,
kind-worker3,139m,1%,291Mi,3%,
idx,63,LOG_TIME,2023-05-14T15:54:21,2023-05-14T10:54:21
