idx,28,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,29,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,30,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,31,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,32,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,33,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,34,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,35,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,36,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,37,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,38,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,39,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,40,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,41,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,42,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,43,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,44,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,45,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,46,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,47,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,952m,11%,1339Mi,16%,
kind-worker,90m,1%,385Mi,4%,
kind-worker2,42m,0%,255Mi,3%,
kind-worker3,86m,1%,259Mi,3%,
idx,48,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,49,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,50,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,51,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,52,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,53,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,54,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,55,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,56,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,57,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,58,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,59,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,60,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,61,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,1337Mi,16%,
kind-worker,94m,1%,386Mi,4%,
kind-worker2,107m,1%,271Mi,3%,
kind-worker3,109m,1%,254Mi,3%,
idx,62,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,63,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,64,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,65,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,66,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,67,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,68,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,69,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,70,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,71,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
idx,72,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1000m,12%,1341Mi,16%,
kind-worker,52m,0%,385Mi,4%,
kind-worker2,44m,0%,272Mi,3%,
kind-worker3,35m,0%,255Mi,3%,
