idx,75,LOG_TIME,2023-09-20T05:22:31,2023-09-20T00:22:31,-
idx,76,LOG_TIME,2023-09-20T05:22:32,2023-09-20T00:22:32,-
idx,77,LOG_TIME,2023-09-20T05:22:33,2023-09-20T00:22:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1871m,23%,679Mi,8%,
kind-worker,81m,1%,268Mi,3%,
kind-worker2,41m,0%,251Mi,3%,
idx,78,LOG_TIME,2023-09-20T05:22:34,2023-09-20T00:22:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1871m,23%,679Mi,8%,
kind-worker,81m,1%,268Mi,3%,
kind-worker2,41m,0%,251Mi,3%,
