kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,38,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,39,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,40,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,41,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,42,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,43,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
kind-worker,37m,0%,344Mi,4%,
kind-worker2,53m,0%,390Mi,4%,
kind-worker3,32m,0%,371Mi,4%,
idx,44,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,943m,11%,1353Mi,16%,
