kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,37,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,38,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,39,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,40,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,41,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,42,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
kind-worker3,162m,2%,340Mi,4%,
idx,43,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1041m,13%,1372Mi,17%,
kind-worker,117m,1%,317Mi,3%,
kind-worker2,64m,0%,385Mi,4%,
