idx,55,LOG_TIME,2023-05-15T18:08:35,2023-05-15T13:08:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,56,LOG_TIME,2023-05-15T18:08:36,2023-05-15T13:08:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,57,LOG_TIME,2023-05-15T18:08:37,2023-05-15T13:08:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,58,LOG_TIME,2023-05-15T18:08:38,2023-05-15T13:08:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,59,LOG_TIME,2023-05-15T18:08:39,2023-05-15T13:08:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,60,LOG_TIME,2023-05-15T18:08:40,2023-05-15T13:08:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,61,LOG_TIME,2023-05-15T18:08:41,2023-05-15T13:08:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,62,LOG_TIME,2023-05-15T18:08:42,2023-05-15T13:08:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,63,LOG_TIME,2023-05-15T18:08:43,2023-05-15T13:08:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,64,LOG_TIME,2023-05-15T18:08:44,2023-05-15T13:08:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,819Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,149m,1%,304Mi,3%,
kind-worker3,134m,1%,278Mi,3%,
idx,65,LOG_TIME,2023-05-15T18:08:45,2023-05-15T13:08:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,66,LOG_TIME,2023-05-15T18:08:46,2023-05-15T13:08:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,67,LOG_TIME,2023-05-15T18:08:47,2023-05-15T13:08:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,68,LOG_TIME,2023-05-15T18:08:48,2023-05-15T13:08:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,69,LOG_TIME,2023-05-15T18:08:49,2023-05-15T13:08:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,70,LOG_TIME,2023-05-15T18:08:50,2023-05-15T13:08:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,71,LOG_TIME,2023-05-15T18:08:51,2023-05-15T13:08:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,72,LOG_TIME,2023-05-15T18:08:52,2023-05-15T13:08:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,73,LOG_TIME,2023-05-15T18:08:53,2023-05-15T13:08:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,74,LOG_TIME,2023-05-15T18:08:54,2023-05-15T13:08:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,938m,11%,822Mi,10%,
kind-worker,138m,1%,287Mi,3%,
kind-worker2,150m,1%,305Mi,3%,
kind-worker3,131m,1%,280Mi,3%,
idx,75,LOG_TIME,2023-05-15T18:08:55,2023-05-15T13:08:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,76,LOG_TIME,2023-05-15T18:08:56,2023-05-15T13:08:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,77,LOG_TIME,2023-05-15T18:08:57,2023-05-15T13:08:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,78,LOG_TIME,2023-05-15T18:08:58,2023-05-15T13:08:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,79,LOG_TIME,2023-05-15T18:08:59,2023-05-15T13:08:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,80,LOG_TIME,2023-05-15T18:09:00,2023-05-15T13:09:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,81,LOG_TIME,2023-05-15T18:09:01,2023-05-15T13:09:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,82,LOG_TIME,2023-05-15T18:09:02,2023-05-15T13:09:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,83,LOG_TIME,2023-05-15T18:09:03,2023-05-15T13:09:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,84,LOG_TIME,2023-05-15T18:09:04,2023-05-15T13:09:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,949m,11%,825Mi,10%,
kind-worker,135m,1%,288Mi,3%,
kind-worker2,154m,1%,301Mi,3%,
kind-worker3,136m,1%,279Mi,3%,
idx,85,LOG_TIME,2023-05-15T18:09:05,2023-05-15T13:09:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,970m,12%,841Mi,10%,
kind-worker,180m,2%,289Mi,3%,
kind-worker2,157m,1%,304Mi,3%,
