kind-worker3,138m,1%,282Mi,3%,
idx,35,LOG_TIME,2023-05-15T17:50:03,2023-05-15T12:50:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,925m,11%,860Mi,10%,
kind-worker,36m,0%,264Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,138m,1%,282Mi,3%,
idx,36,LOG_TIME,2023-05-15T17:50:05,2023-05-15T12:50:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,37,LOG_TIME,2023-05-15T17:50:06,2023-05-15T12:50:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,38,LOG_TIME,2023-05-15T17:50:07,2023-05-15T12:50:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,39,LOG_TIME,2023-05-15T17:50:08,2023-05-15T12:50:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,40,LOG_TIME,2023-05-15T17:50:09,2023-05-15T12:50:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,41,LOG_TIME,2023-05-15T17:50:10,2023-05-15T12:50:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,42,LOG_TIME,2023-05-15T17:50:11,2023-05-15T12:50:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,43,LOG_TIME,2023-05-15T17:50:12,2023-05-15T12:50:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,44,LOG_TIME,2023-05-15T17:50:13,2023-05-15T12:50:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,45,LOG_TIME,2023-05-15T17:50:14,2023-05-15T12:50:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,879m,10%,847Mi,10%,
kind-worker,36m,0%,265Mi,3%,
kind-worker2,50m,0%,283Mi,3%,
kind-worker3,140m,1%,282Mi,3%,
idx,46,LOG_TIME,2023-05-15T17:50:15,2023-05-15T12:50:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,47,LOG_TIME,2023-05-15T17:50:16,2023-05-15T12:50:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,48,LOG_TIME,2023-05-15T17:50:17,2023-05-15T12:50:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,49,LOG_TIME,2023-05-15T17:50:18,2023-05-15T12:50:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,50,LOG_TIME,2023-05-15T17:50:19,2023-05-15T12:50:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,51,LOG_TIME,2023-05-15T17:50:20,2023-05-15T12:50:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,52,LOG_TIME,2023-05-15T17:50:21,2023-05-15T12:50:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,53,LOG_TIME,2023-05-15T17:50:22,2023-05-15T12:50:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,54,LOG_TIME,2023-05-15T17:50:23,2023-05-15T12:50:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,55,LOG_TIME,2023-05-15T17:50:24,2023-05-15T12:50:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,940m,11%,843Mi,10%,
kind-worker,143m,1%,284Mi,3%,
kind-worker2,48m,0%,284Mi,3%,
kind-worker3,134m,1%,282Mi,3%,
idx,56,LOG_TIME,2023-05-15T17:50:25,2023-05-15T12:50:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,57,LOG_TIME,2023-05-15T17:50:26,2023-05-15T12:50:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,58,LOG_TIME,2023-05-15T17:50:27,2023-05-15T12:50:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,59,LOG_TIME,2023-05-15T17:50:28,2023-05-15T12:50:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,60,LOG_TIME,2023-05-15T17:50:29,2023-05-15T12:50:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,61,LOG_TIME,2023-05-15T17:50:30,2023-05-15T12:50:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,62,LOG_TIME,2023-05-15T17:50:31,2023-05-15T12:50:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,63,LOG_TIME,2023-05-15T17:50:32,2023-05-15T12:50:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,64,LOG_TIME,2023-05-15T17:50:33,2023-05-15T12:50:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,65,LOG_TIME,2023-05-15T17:50:34,2023-05-15T12:50:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,933m,11%,848Mi,10%,
kind-worker,137m,1%,287Mi,3%,
kind-worker2,48m,0%,285Mi,3%,
kind-worker3,136m,1%,281Mi,3%,
idx,66,LOG_TIME,2023-05-15T17:50:35,2023-05-15T12:50:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,67,LOG_TIME,2023-05-15T17:50:36,2023-05-15T12:50:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,68,LOG_TIME,2023-05-15T17:50:37,2023-05-15T12:50:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,69,LOG_TIME,2023-05-15T17:50:38,2023-05-15T12:50:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,70,LOG_TIME,2023-05-15T17:50:39,2023-05-15T12:50:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,71,LOG_TIME,2023-05-15T17:50:40,2023-05-15T12:50:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,72,LOG_TIME,2023-05-15T17:50:41,2023-05-15T12:50:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,73,LOG_TIME,2023-05-15T17:50:42,2023-05-15T12:50:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,74,LOG_TIME,2023-05-15T17:50:43,2023-05-15T12:50:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,75,LOG_TIME,2023-05-15T17:50:44,2023-05-15T12:50:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,884m,11%,852Mi,10%,
kind-worker,136m,1%,286Mi,3%,
kind-worker2,52m,0%,284Mi,3%,
kind-worker3,136m,1%,280Mi,3%,
idx,76,LOG_TIME,2023-05-15T17:50:45,2023-05-15T12:50:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,77,LOG_TIME,2023-05-15T17:50:46,2023-05-15T12:50:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
idx,78,LOG_TIME,2023-05-15T17:50:47,2023-05-15T12:50:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,915m,11%,849Mi,10%,
kind-worker,137m,1%,284Mi,3%,
kind-worker2,47m,0%,284Mi,3%,
kind-worker3,136m,1%,282Mi,3%,
