idx,36,LOG_TIME,2023-08-18T21:13:02,2023-08-18T16:13:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,37,LOG_TIME,2023-08-18T21:13:03,2023-08-18T16:13:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,38,LOG_TIME,2023-08-18T21:13:04,2023-08-18T16:13:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,39,LOG_TIME,2023-08-18T21:13:05,2023-08-18T16:13:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,40,LOG_TIME,2023-08-18T21:13:06,2023-08-18T16:13:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,41,LOG_TIME,2023-08-18T21:13:07,2023-08-18T16:13:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,42,LOG_TIME,2023-08-18T21:13:08,2023-08-18T16:13:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,43,LOG_TIME,2023-08-18T21:13:09,2023-08-18T16:13:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,44,LOG_TIME,2023-08-18T21:13:10,2023-08-18T16:13:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,45,LOG_TIME,2023-08-18T21:13:11,2023-08-18T16:13:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,46,LOG_TIME,2023-08-18T21:13:12,2023-08-18T16:13:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,47,LOG_TIME,2023-08-18T21:13:13,2023-08-18T16:13:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,48,LOG_TIME,2023-08-18T21:13:14,2023-08-18T16:13:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,49,LOG_TIME,2023-08-18T21:13:15,2023-08-18T16:13:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,50,LOG_TIME,2023-08-18T21:13:16,2023-08-18T16:13:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,51,LOG_TIME,2023-08-18T21:13:17,2023-08-18T16:13:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,52,LOG_TIME,2023-08-18T21:13:18,2023-08-18T16:13:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1239m,15%,830Mi,10%,
kind-worker,88m,1%,245Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,150m,1%,269Mi,3%,
idx,53,LOG_TIME,2023-08-18T21:13:19,2023-08-18T16:13:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,54,LOG_TIME,2023-08-18T21:13:21,2023-08-18T16:13:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,55,LOG_TIME,2023-08-18T21:13:22,2023-08-18T16:13:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,56,LOG_TIME,2023-08-18T21:13:23,2023-08-18T16:13:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,57,LOG_TIME,2023-08-18T21:13:24,2023-08-18T16:13:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,58,LOG_TIME,2023-08-18T21:13:25,2023-08-18T16:13:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,59,LOG_TIME,2023-08-18T21:13:26,2023-08-18T16:13:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,60,LOG_TIME,2023-08-18T21:13:27,2023-08-18T16:13:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,61,LOG_TIME,2023-08-18T21:13:28,2023-08-18T16:13:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1384m,17%,833Mi,10%,
kind-worker,47m,0%,243Mi,3%,
kind-worker2,54m,0%,249Mi,3%,
kind-worker3,71m,0%,270Mi,3%,
idx,62,LOG_TIME,2023-08-18T21:13:29,2023-08-18T16:13:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,63,LOG_TIME,2023-08-18T21:13:30,2023-08-18T16:13:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,64,LOG_TIME,2023-08-18T21:13:31,2023-08-18T16:13:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,65,LOG_TIME,2023-08-18T21:13:32,2023-08-18T16:13:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,66,LOG_TIME,2023-08-18T21:13:33,2023-08-18T16:13:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,67,LOG_TIME,2023-08-18T21:13:34,2023-08-18T16:13:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,68,LOG_TIME,2023-08-18T21:13:35,2023-08-18T16:13:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,69,LOG_TIME,2023-08-18T21:13:36,2023-08-18T16:13:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,70,LOG_TIME,2023-08-18T21:13:37,2023-08-18T16:13:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,71,LOG_TIME,2023-08-18T21:13:38,2023-08-18T16:13:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,843Mi,10%,
kind-worker,165m,2%,258Mi,3%,
kind-worker2,133m,1%,255Mi,3%,
kind-worker3,341m,4%,296Mi,3%,
idx,72,LOG_TIME,2023-08-18T21:13:39,2023-08-18T16:13:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,73,LOG_TIME,2023-08-18T21:13:40,2023-08-18T16:13:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,74,LOG_TIME,2023-08-18T21:13:41,2023-08-18T16:13:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,75,LOG_TIME,2023-08-18T21:13:42,2023-08-18T16:13:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,76,LOG_TIME,2023-08-18T21:13:43,2023-08-18T16:13:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,77,LOG_TIME,2023-08-18T21:13:44,2023-08-18T16:13:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,78,LOG_TIME,2023-08-18T21:13:45,2023-08-18T16:13:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,79,LOG_TIME,2023-08-18T21:13:47,2023-08-18T16:13:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,80,LOG_TIME,2023-08-18T21:13:48,2023-08-18T16:13:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
idx,81,LOG_TIME,2023-08-18T21:13:49,2023-08-18T16:13:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1459m,18%,846Mi,10%,
kind-worker,52m,0%,260Mi,3%,
kind-worker2,47m,0%,256Mi,3%,
kind-worker3,171m,2%,297Mi,3%,
