NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,28,LOG_TIME,2023-09-15T20:02:13,2023-09-15T15:02:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,29,LOG_TIME,2023-09-15T20:02:14,2023-09-15T15:02:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,30,LOG_TIME,2023-09-15T20:02:15,2023-09-15T15:02:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,31,LOG_TIME,2023-09-15T20:02:16,2023-09-15T15:02:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,32,LOG_TIME,2023-09-15T20:02:17,2023-09-15T15:02:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,33,LOG_TIME,2023-09-15T20:02:18,2023-09-15T15:02:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,34,LOG_TIME,2023-09-15T20:02:19,2023-09-15T15:02:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1262m,15%,798Mi,10%,
kind-worker,43m,0%,308Mi,3%,
kind-worker2,55m,0%,281Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,35,LOG_TIME,2023-09-15T20:02:20,2023-09-15T15:02:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,36,LOG_TIME,2023-09-15T20:02:21,2023-09-15T15:02:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,37,LOG_TIME,2023-09-15T20:02:22,2023-09-15T15:02:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,38,LOG_TIME,2023-09-15T20:02:23,2023-09-15T15:02:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,39,LOG_TIME,2023-09-15T20:02:24,2023-09-15T15:02:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,40,LOG_TIME,2023-09-15T20:02:25,2023-09-15T15:02:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,41,LOG_TIME,2023-09-15T20:02:26,2023-09-15T15:02:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,42,LOG_TIME,2023-09-15T20:02:27,2023-09-15T15:02:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,43,LOG_TIME,2023-09-15T20:02:28,2023-09-15T15:02:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1218m,15%,802Mi,10%,
kind-worker,42m,0%,307Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,138m,1%,303Mi,3%,
idx,44,LOG_TIME,2023-09-15T20:02:29,2023-09-15T15:02:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,45,LOG_TIME,2023-09-15T20:02:30,2023-09-15T15:02:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,46,LOG_TIME,2023-09-15T20:02:31,2023-09-15T15:02:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,47,LOG_TIME,2023-09-15T20:02:32,2023-09-15T15:02:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,48,LOG_TIME,2023-09-15T20:02:33,2023-09-15T15:02:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,49,LOG_TIME,2023-09-15T20:02:34,2023-09-15T15:02:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,50,LOG_TIME,2023-09-15T20:02:35,2023-09-15T15:02:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,51,LOG_TIME,2023-09-15T20:02:36,2023-09-15T15:02:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,52,LOG_TIME,2023-09-15T20:02:37,2023-09-15T15:02:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,53,LOG_TIME,2023-09-15T20:02:38,2023-09-15T15:02:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1206m,15%,803Mi,10%,
kind-worker,127m,1%,315Mi,3%,
kind-worker2,63m,0%,280Mi,3%,
kind-worker3,144m,1%,304Mi,3%,
idx,54,LOG_TIME,2023-09-15T20:02:39,2023-09-15T15:02:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,55,LOG_TIME,2023-09-15T20:02:40,2023-09-15T15:02:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
kind-worker,123m,1%,329Mi,4%,
kind-worker2,168m,2%,299Mi,3%,
kind-worker3,151m,1%,305Mi,3%,
idx,56,LOG_TIME,2023-09-15T20:02:41,2023-09-15T15:02:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1157m,14%,803Mi,10%,
