NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,31,LOG_TIME,2023-08-30T04:47:33,2023-08-29T23:47:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,32,LOG_TIME,2023-08-30T04:47:34,2023-08-29T23:47:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,33,LOG_TIME,2023-08-30T04:47:35,2023-08-29T23:47:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,34,LOG_TIME,2023-08-30T04:47:36,2023-08-29T23:47:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,35,LOG_TIME,2023-08-30T04:47:37,2023-08-29T23:47:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,36,LOG_TIME,2023-08-30T04:47:38,2023-08-29T23:47:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1413m,17%,833Mi,10%,
kind-worker,270m,3%,408Mi,5%,
kind-worker2,62m,0%,315Mi,3%,
kind-worker3,81m,1%,293Mi,3%,
idx,37,LOG_TIME,2023-08-30T04:47:39,2023-08-29T23:47:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,38,LOG_TIME,2023-08-30T04:47:40,2023-08-29T23:47:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,39,LOG_TIME,2023-08-30T04:47:41,2023-08-29T23:47:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,40,LOG_TIME,2023-08-30T04:47:42,2023-08-29T23:47:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,41,LOG_TIME,2023-08-30T04:47:43,2023-08-29T23:47:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,42,LOG_TIME,2023-08-30T04:47:44,2023-08-29T23:47:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,43,LOG_TIME,2023-08-30T04:47:45,2023-08-29T23:47:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,44,LOG_TIME,2023-08-30T04:47:46,2023-08-29T23:47:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
idx,45,LOG_TIME,2023-08-30T04:47:47,2023-08-29T23:47:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1699m,21%,841Mi,10%,
kind-worker,43m,0%,409Mi,5%,
kind-worker2,126m,1%,321Mi,4%,
kind-worker3,113m,1%,304Mi,3%,
