NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,30,LOG_TIME,2023-05-14T09:50:32,2023-05-14T09:50:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,31,LOG_TIME,2023-05-14T14:50:33,2023-05-14T09:50:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,32,LOG_TIME,2023-05-14T14:50:34,2023-05-14T09:50:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,33,LOG_TIME,2023-05-14T09:50:35,2023-05-14T09:50:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,34,LOG_TIME,2023-05-14T14:50:36,2023-05-14T09:50:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,35,LOG_TIME,2023-05-14T14:50:37,2023-05-14T09:50:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,36,LOG_TIME,2023-05-14T14:50:38,2023-05-14T09:50:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,37,LOG_TIME,2023-05-14T14:50:39,2023-05-14T09:50:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,38,LOG_TIME,2023-05-14T14:50:40,2023-05-14T09:50:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,39,LOG_TIME,2023-05-14T14:50:41,2023-05-14T09:50:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,40,LOG_TIME,2023-05-14T14:50:42,2023-05-14T09:50:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,41,LOG_TIME,2023-05-14T14:50:43,2023-05-14T09:50:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,42,LOG_TIME,2023-05-14T14:50:44,2023-05-14T09:50:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,307m,3%,1084Mi,13%,
kind-worker,1409m,17%,256Mi,3%,
kind-worker2,53m,0%,219Mi,2%,
kind-worker3,37m,0%,192Mi,2%,
idx,43,LOG_TIME,2023-05-14T14:50:45,2023-05-14T09:50:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,44,LOG_TIME,2023-05-14T14:50:46,2023-05-14T09:50:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,45,LOG_TIME,2023-05-14T14:50:47,2023-05-14T09:50:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,46,LOG_TIME,2023-05-14T14:50:48,2023-05-14T09:50:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,47,LOG_TIME,2023-05-14T14:50:49,2023-05-14T09:50:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,48,LOG_TIME,2023-05-14T14:50:50,2023-05-14T14:50:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,49,LOG_TIME,2023-05-14T14:50:51,2023-05-14T09:50:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,50,LOG_TIME,2023-05-14T09:50:52,2023-05-14T09:50:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,51,LOG_TIME,2023-05-14T14:50:53,2023-05-14T09:50:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,52,LOG_TIME,2023-05-14T14:50:54,2023-05-14T09:50:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,339m,4%,1080Mi,13%,
kind-worker,430m,5%,266Mi,3%,
kind-worker2,54m,0%,217Mi,2%,
kind-worker3,37m,0%,193Mi,2%,
idx,53,LOG_TIME,2023-05-14T14:50:55,2023-05-14T09:50:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,54,LOG_TIME,2023-05-14T14:50:57,2023-05-14T09:50:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1086Mi,13%,
kind-worker,154m,1%,277Mi,3%,
kind-worker2,58m,0%,218Mi,2%,
kind-worker3,41m,0%,193Mi,2%,
idx,55,LOG_TIME,2023-05-14T14:50:57,2023-05-14T09:50:57
