idx,26,LOG_TIME,2023-05-17T21:38:19,2023-05-17T16:38:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,27,LOG_TIME,2023-05-17T21:38:20,2023-05-17T16:38:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,28,LOG_TIME,2023-05-17T21:38:21,2023-05-17T16:38:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,29,LOG_TIME,2023-05-17T21:38:22,2023-05-17T16:38:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,30,LOG_TIME,2023-05-17T21:38:23,2023-05-17T16:38:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,967m,12%,853Mi,10%,
kind-worker,233m,2%,290Mi,3%,
kind-worker2,49m,0%,285Mi,3%,
kind-worker3,35m,0%,265Mi,3%,
idx,31,LOG_TIME,2023-05-17T21:38:24,2023-05-17T16:38:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,32,LOG_TIME,2023-05-17T21:38:25,2023-05-17T16:38:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,33,LOG_TIME,2023-05-17T21:38:26,2023-05-17T16:38:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,34,LOG_TIME,2023-05-17T21:38:27,2023-05-17T16:38:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,35,LOG_TIME,2023-05-17T21:38:28,2023-05-17T16:38:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,36,LOG_TIME,2023-05-17T21:38:29,2023-05-17T16:38:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,37,LOG_TIME,2023-05-17T21:38:30,2023-05-17T16:38:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,38,LOG_TIME,2023-05-17T21:38:31,2023-05-17T16:38:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,39,LOG_TIME,2023-05-17T21:38:32,2023-05-17T16:38:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,40,LOG_TIME,2023-05-17T21:38:33,2023-05-17T16:38:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1033m,12%,848Mi,10%,
kind-worker,243m,3%,289Mi,3%,
kind-worker2,47m,0%,285Mi,3%,
kind-worker3,38m,0%,266Mi,3%,
idx,41,LOG_TIME,2023-05-17T21:38:34,2023-05-17T16:38:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,42,LOG_TIME,2023-05-17T21:38:35,2023-05-17T16:38:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,43,LOG_TIME,2023-05-17T21:38:36,2023-05-17T16:38:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,44,LOG_TIME,2023-05-17T21:38:37,2023-05-17T16:38:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,45,LOG_TIME,2023-05-17T21:38:38,2023-05-17T16:38:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,46,LOG_TIME,2023-05-17T21:38:39,2023-05-17T16:38:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,47,LOG_TIME,2023-05-17T21:38:40,2023-05-17T16:38:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,48,LOG_TIME,2023-05-17T21:38:41,2023-05-17T16:38:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,49,LOG_TIME,2023-05-17T21:38:42,2023-05-17T16:38:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,50,LOG_TIME,2023-05-17T21:38:44,2023-05-17T16:38:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,845Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,50m,0%,285Mi,3%,
kind-worker3,30m,0%,265Mi,3%,
idx,51,LOG_TIME,2023-05-17T21:38:45,2023-05-17T16:38:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,52,LOG_TIME,2023-05-17T21:38:46,2023-05-17T16:38:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,53,LOG_TIME,2023-05-17T21:38:47,2023-05-17T16:38:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,54,LOG_TIME,2023-05-17T21:38:48,2023-05-17T16:38:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,55,LOG_TIME,2023-05-17T21:38:49,2023-05-17T16:38:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,56,LOG_TIME,2023-05-17T21:38:50,2023-05-17T16:38:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,57,LOG_TIME,2023-05-17T21:38:51,2023-05-17T16:38:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,58,LOG_TIME,2023-05-17T21:38:52,2023-05-17T16:38:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,59,LOG_TIME,2023-05-17T21:38:53,2023-05-17T16:38:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,60,LOG_TIME,2023-05-17T21:38:54,2023-05-17T16:38:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1001m,12%,853Mi,10%,
kind-worker,234m,2%,292Mi,3%,
kind-worker2,191m,2%,306Mi,3%,
kind-worker3,404m,5%,304Mi,3%,
idx,61,LOG_TIME,2023-05-17T21:38:55,2023-05-17T16:38:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,62,LOG_TIME,2023-05-17T21:38:56,2023-05-17T16:38:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,63,LOG_TIME,2023-05-17T21:38:57,2023-05-17T16:38:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,64,LOG_TIME,2023-05-17T21:38:58,2023-05-17T16:38:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,65,LOG_TIME,2023-05-17T21:38:59,2023-05-17T16:38:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,66,LOG_TIME,2023-05-17T21:39:00,2023-05-17T16:39:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,67,LOG_TIME,2023-05-17T21:39:01,2023-05-17T16:39:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,68,LOG_TIME,2023-05-17T21:39:02,2023-05-17T16:39:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,69,LOG_TIME,2023-05-17T21:39:03,2023-05-17T16:39:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,70,LOG_TIME,2023-05-17T21:39:04,2023-05-17T16:39:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,995m,12%,852Mi,10%,
kind-worker,238m,2%,291Mi,3%,
kind-worker2,250m,3%,307Mi,3%,
kind-worker3,436m,5%,306Mi,3%,
idx,71,LOG_TIME,2023-05-17T21:39:05,2023-05-17T16:39:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,72,LOG_TIME,2023-05-17T21:39:06,2023-05-17T16:39:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,73,LOG_TIME,2023-05-17T21:39:07,2023-05-17T16:39:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,74,LOG_TIME,2023-05-17T21:39:08,2023-05-17T16:39:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,75,LOG_TIME,2023-05-17T21:39:09,2023-05-17T16:39:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,76,LOG_TIME,2023-05-17T21:39:10,2023-05-17T16:39:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,77,LOG_TIME,2023-05-17T21:39:11,2023-05-17T16:39:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,78,LOG_TIME,2023-05-17T21:39:12,2023-05-17T16:39:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,79,LOG_TIME,2023-05-17T21:39:13,2023-05-17T16:39:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,80,LOG_TIME,2023-05-17T21:39:14,2023-05-17T16:39:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1036m,12%,850Mi,10%,
kind-worker,237m,2%,292Mi,3%,
kind-worker2,247m,3%,307Mi,3%,
kind-worker3,448m,5%,307Mi,3%,
idx,81,LOG_TIME,2023-05-17T21:39:15,2023-05-17T16:39:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1023m,12%,855Mi,10%,
kind-worker,236m,2%,292Mi,3%,
kind-worker2,255m,3%,308Mi,3%,
kind-worker3,436m,5%,307Mi,3%,
idx,82,LOG_TIME,2023-05-17T21:39:16,2023-05-17T16:39:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1023m,12%,855Mi,10%,
kind-worker,236m,2%,292Mi,3%,
kind-worker2,255m,3%,308Mi,3%,
kind-worker3,436m,5%,307Mi,3%,
idx,83,LOG_TIME,2023-05-17T21:39:17,2023-05-17T16:39:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1023m,12%,855Mi,10%,
kind-worker,236m,2%,292Mi,3%,
kind-worker2,255m,3%,308Mi,3%,
kind-worker3,436m,5%,307Mi,3%,
idx,84,LOG_TIME,2023-05-17T21:39:18,2023-05-17T16:39:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1023m,12%,855Mi,10%,
kind-worker,236m,2%,292Mi,3%,
kind-worker2,255m,3%,308Mi,3%,
kind-worker3,436m,5%,307Mi,3%,
idx,85,LOG_TIME,2023-05-17T21:39:19,2023-05-17T16:39:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1023m,12%,855Mi,10%,
