kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,41,LOG_TIME,2023-05-14T02:59:09,2023-05-13T21:59:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,42,LOG_TIME,2023-05-14T02:59:10,2023-05-13T21:59:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,43,LOG_TIME,2023-05-14T02:59:11,2023-05-13T21:59:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,44,LOG_TIME,2023-05-14T02:59:12,2023-05-13T21:59:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,45,LOG_TIME,2023-05-14T02:59:13,2023-05-13T21:59:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,46,LOG_TIME,2023-05-14T02:59:14,2023-05-13T21:59:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,47,LOG_TIME,2023-05-14T02:59:15,2023-05-13T21:59:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,48,LOG_TIME,2023-05-14T02:59:16,2023-05-13T21:59:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,49,LOG_TIME,2023-05-14T02:59:17,2023-05-13T21:59:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,50,LOG_TIME,2023-05-14T02:59:18,2023-05-13T21:59:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,51,LOG_TIME,2023-05-14T02:59:19,2023-05-13T21:59:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,52,LOG_TIME,2023-05-14T02:59:20,2023-05-13T21:59:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,53,LOG_TIME,2023-05-14T02:59:21,2023-05-13T21:59:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,54,LOG_TIME,2023-05-13T21:59:22,2023-05-13T21:59:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,55,LOG_TIME,2023-05-14T02:59:23,2023-05-13T21:59:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,56,LOG_TIME,2023-05-14T02:59:24,2023-05-13T21:59:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,416m,5%,936Mi,11%,
kind-worker,225m,2%,223Mi,2%,
kind-worker2,251m,3%,241Mi,3%,
kind-worker3,373m,4%,230Mi,2%,
idx,57,LOG_TIME,2023-05-14T02:59:25,2023-05-13T21:59:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,387m,4%,939Mi,11%,
kind-worker,193m,2%,226Mi,2%,
kind-worker2,314m,3%,254Mi,3%,
kind-worker3,330m,4%,229Mi,2%,
