idx,82,LOG_TIME,2023-09-15T20:50:46,2023-09-15T15:50:46,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,73s
idx,83,LOG_TIME,2023-09-15T20:50:47,2023-09-15T15:50:47,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,74s
idx,84,LOG_TIME,2023-09-15T20:50:48,2023-09-15T15:50:48,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,75s
idx,85,LOG_TIME,2023-09-15T20:50:49,2023-09-15T15:50:49,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,76s
idx,86,LOG_TIME,2023-09-15T20:50:50,2023-09-15T15:50:50,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,77s
idx,87,LOG_TIME,2023-09-15T20:50:51,2023-09-15T15:50:51,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,78s
idx,88,LOG_TIME,2023-09-15T20:50:52,2023-09-15T15:50:52,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,79s
idx,89,LOG_TIME,2023-09-15T20:50:53,2023-09-15T15:50:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,80s
idx,90,LOG_TIME,2023-09-15T20:50:54,2023-09-15T15:50:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,81s
