idx,71,LOG_TIME,2023-09-15T20:50:34,2023-09-15T15:50:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,72,LOG_TIME,2023-09-15T20:50:35,2023-09-15T15:50:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,73,LOG_TIME,2023-09-15T20:50:36,2023-09-15T15:50:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,74,LOG_TIME,2023-09-15T20:50:38,2023-09-15T15:50:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,75,LOG_TIME,2023-09-15T20:50:39,2023-09-15T15:50:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,76,LOG_TIME,2023-09-15T20:50:40,2023-09-15T15:50:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,77,LOG_TIME,2023-09-15T20:50:41,2023-09-15T15:50:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,78,LOG_TIME,2023-09-15T20:50:42,2023-09-15T15:50:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,79,LOG_TIME,2023-09-15T20:50:43,2023-09-15T15:50:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,80,LOG_TIME,2023-09-15T20:50:44,2023-09-15T15:50:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,81,LOG_TIME,2023-09-15T20:50:45,2023-09-15T15:50:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,82,LOG_TIME,2023-09-15T20:50:46,2023-09-15T15:50:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,83,LOG_TIME,2023-09-15T20:50:47,2023-09-15T15:50:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,84,LOG_TIME,2023-09-15T20:50:48,2023-09-15T15:50:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1453m,18%,810Mi,10%,
kind-worker,39m,0%,348Mi,4%,
kind-worker2,66m,0%,323Mi,4%,
kind-worker3,38m,0%,268Mi,3%,
idx,85,LOG_TIME,2023-09-15T20:50:49,2023-09-15T15:50:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
