NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,31,LOG_TIME,2023-09-19T17:02:19,2023-09-19T12:02:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,32,LOG_TIME,2023-09-19T17:02:20,2023-09-19T12:02:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,33,LOG_TIME,2023-09-19T17:02:21,2023-09-19T12:02:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,34,LOG_TIME,2023-09-19T17:02:22,2023-09-19T12:02:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,35,LOG_TIME,2023-09-19T17:02:24,2023-09-19T12:02:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,36,LOG_TIME,2023-09-19T17:02:25,2023-09-19T12:02:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
kind-worker3,152m,1%,376Mi,4%,
idx,37,LOG_TIME,2023-09-19T17:02:26,2023-09-19T12:02:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1302m,16%,849Mi,10%,
kind-worker,145m,1%,364Mi,4%,
kind-worker2,154m,1%,341Mi,4%,
