kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,81,LOG_TIME,2023-09-19T07:45:06,2023-09-19T02:45:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,82,LOG_TIME,2023-09-19T07:45:07,2023-09-19T02:45:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,83,LOG_TIME,2023-09-19T07:45:08,2023-09-19T02:45:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,84,LOG_TIME,2023-09-19T07:45:09,2023-09-19T02:45:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1277m,15%,859Mi,10%,
kind-worker,251m,3%,360Mi,4%,
kind-worker2,162m,2%,338Mi,4%,
kind-worker3,243m,3%,338Mi,4%,
idx,85,LOG_TIME,2023-09-19T07:45:10,2023-09-19T02:45:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
