kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,34,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,35,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,36,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,37,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,38,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,39,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,40,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,41,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,42,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,43,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,44,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,45,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,997m,12%,1351Mi,16%,
kind-worker,202m,2%,381Mi,4%,
kind-worker2,136m,1%,293Mi,3%,
kind-worker3,216m,2%,294Mi,3%,
idx,46,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,997m,12%,1351Mi,16%,
kind-worker,202m,2%,381Mi,4%,
kind-worker2,136m,1%,293Mi,3%,
kind-worker3,216m,2%,294Mi,3%,
idx,47,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,997m,12%,1351Mi,16%,
kind-worker,202m,2%,381Mi,4%,
kind-worker2,136m,1%,293Mi,3%,
kind-worker3,216m,2%,294Mi,3%,
idx,48,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,997m,12%,1351Mi,16%,
kind-worker,202m,2%,381Mi,4%,
kind-worker2,136m,1%,293Mi,3%,
kind-worker3,216m,2%,294Mi,3%,
