kind-control-plane,1067m,13%,1356Mi,17%,
kind-worker,79m,0%,313Mi,3%,
kind-worker2,85m,1%,387Mi,4%,
kind-worker3,161m,2%,312Mi,3%,
idx,41,LOG_TIME,2023-05-11T06:13:58,2023-05-11T01:13:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1067m,13%,1356Mi,17%,
kind-worker,79m,0%,313Mi,3%,
kind-worker2,85m,1%,387Mi,4%,
kind-worker3,161m,2%,312Mi,3%,
idx,42,LOG_TIME,2023-05-11T01:13:59,2023-05-11T01:13:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1067m,13%,1356Mi,17%,
kind-worker,79m,0%,313Mi,3%,
kind-worker2,85m,1%,387Mi,4%,
kind-worker3,161m,2%,312Mi,3%,
idx,43,LOG_TIME,2023-05-11T06:14:00,2023-05-11T01:14:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1067m,13%,1356Mi,17%,
kind-worker,79m,0%,313Mi,3%,
kind-worker2,85m,1%,387Mi,4%,
kind-worker3,161m,2%,312Mi,3%,
idx,44,LOG_TIME,2023-05-11T06:14:01,2023-05-11T01:14:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1067m,13%,1356Mi,17%,
kind-worker,79m,0%,313Mi,3%,
kind-worker2,85m,1%,387Mi,4%,
kind-worker3,161m,2%,312Mi,3%,
idx,45,LOG_TIME,2023-05-11T06:14:02,2023-05-11T01:14:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,46,LOG_TIME,2023-05-11T06:14:03,2023-05-11T01:14:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,47,LOG_TIME,2023-05-11T06:14:04,2023-05-11T01:14:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,48,LOG_TIME,2023-05-11T01:14:05,2023-05-11T01:14:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,49,LOG_TIME,2023-05-11T01:14:06,2023-05-11T01:14:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,50,LOG_TIME,2023-05-11T06:14:07,2023-05-11T01:14:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,51,LOG_TIME,2023-05-11T06:14:08,2023-05-11T01:14:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,52,LOG_TIME,2023-05-11T06:14:09,2023-05-11T01:14:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,53,LOG_TIME,2023-05-11T01:14:10,2023-05-11T01:14:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,54,LOG_TIME,2023-05-11T06:14:11,2023-05-11T01:14:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,971m,12%,1355Mi,17%,
kind-worker,264m,3%,345Mi,4%,
kind-worker2,83m,1%,388Mi,4%,
kind-worker3,71m,0%,310Mi,3%,
idx,55,LOG_TIME,2023-05-11T01:14:12,2023-05-11T01:14:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,56,LOG_TIME,2023-05-11T06:14:13,2023-05-11T01:14:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,57,LOG_TIME,2023-05-11T06:14:14,2023-05-11T01:14:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,58,LOG_TIME,2023-05-11T06:14:15,2023-05-11T01:14:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1053m,13%,1358Mi,17%,
kind-worker,46m,0%,345Mi,4%,
kind-worker2,138m,1%,371Mi,4%,
kind-worker3,62m,0%,311Mi,3%,
idx,59,LOG_TIME,2023-05-11T06:14:16,2023-05-11T01:14:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
