kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,28,LOG_TIME,2023-09-19T08:13:51,2023-09-19T03:13:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,29,LOG_TIME,2023-09-19T08:13:52,2023-09-19T03:13:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,30,LOG_TIME,2023-09-19T08:13:53,2023-09-19T03:13:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,31,LOG_TIME,2023-09-19T08:13:54,2023-09-19T03:13:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,32,LOG_TIME,2023-09-19T08:13:55,2023-09-19T03:13:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,33,LOG_TIME,2023-09-19T08:13:56,2023-09-19T03:13:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,34,LOG_TIME,2023-09-19T08:13:57,2023-09-19T03:13:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,35,LOG_TIME,2023-09-19T08:13:58,2023-09-19T03:13:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1332m,16%,838Mi,10%,
kind-worker,72m,0%,360Mi,4%,
kind-worker2,80m,1%,298Mi,3%,
kind-worker3,160m,2%,362Mi,4%,
idx,36,LOG_TIME,2023-09-19T08:13:59,2023-09-19T03:13:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,37,LOG_TIME,2023-09-19T08:14:00,2023-09-19T03:14:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,38,LOG_TIME,2023-09-19T08:14:01,2023-09-19T03:14:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,39,LOG_TIME,2023-09-19T08:14:02,2023-09-19T03:14:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,40,LOG_TIME,2023-09-19T08:14:03,2023-09-19T03:14:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,41,LOG_TIME,2023-09-19T08:14:04,2023-09-19T03:14:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
kind-worker3,41m,0%,362Mi,4%,
idx,42,LOG_TIME,2023-09-19T08:14:05,2023-09-19T03:14:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1322m,16%,836Mi,10%,
kind-worker,44m,0%,360Mi,4%,
kind-worker2,53m,0%,297Mi,3%,
