kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,27,LOG_TIME,2023-05-12T05:23:08,2023-05-12T00:23:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,28,LOG_TIME,2023-05-12T05:23:09,2023-05-12T00:23:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,29,LOG_TIME,2023-05-12T05:23:10,2023-05-12T00:23:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,30,LOG_TIME,2023-05-12T05:23:11,2023-05-12T00:23:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,31,LOG_TIME,2023-05-12T05:23:12,2023-05-12T05:23:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,32,LOG_TIME,2023-05-12T05:23:13,2023-05-12T00:23:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,33,LOG_TIME,2023-05-12T05:23:14,2023-05-12T00:23:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,34,LOG_TIME,2023-05-12T05:23:15,2023-05-12T00:23:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,35,LOG_TIME,2023-05-12T05:23:16,2023-05-12T00:23:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,115m,1%,366Mi,4%,
kind-worker2,101m,1%,412Mi,5%,
kind-worker3,52m,0%,393Mi,4%,
idx,36,LOG_TIME,2023-05-12T05:23:17,2023-05-12T00:23:17
