kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,47,LOG_TIME,2023-05-18T15:19:22,2023-05-18T10:19:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,48,LOG_TIME,2023-05-18T15:19:23,2023-05-18T10:19:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,49,LOG_TIME,2023-05-18T15:19:24,2023-05-18T10:19:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,50,LOG_TIME,2023-05-18T15:19:25,2023-05-18T10:19:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,51,LOG_TIME,2023-05-18T15:19:26,2023-05-18T10:19:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,52,LOG_TIME,2023-05-18T15:19:27,2023-05-18T10:19:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,53,LOG_TIME,2023-05-18T15:19:28,2023-05-18T10:19:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,54,LOG_TIME,2023-05-18T15:19:29,2023-05-18T10:19:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,55,LOG_TIME,2023-05-18T15:19:30,2023-05-18T10:19:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,56,LOG_TIME,2023-05-18T15:19:31,2023-05-18T10:19:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,57,LOG_TIME,2023-05-18T15:19:32,2023-05-18T10:19:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,58,LOG_TIME,2023-05-18T15:19:33,2023-05-18T10:19:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,965m,12%,839Mi,10%,
kind-worker,140m,1%,315Mi,3%,
kind-worker2,151m,1%,334Mi,4%,
kind-worker3,135m,1%,310Mi,3%,
idx,59,LOG_TIME,2023-05-18T15:19:34,2023-05-18T10:19:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,60,LOG_TIME,2023-05-18T15:19:35,2023-05-18T10:19:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,61,LOG_TIME,2023-05-18T15:19:36,2023-05-18T10:19:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,62,LOG_TIME,2023-05-18T15:19:37,2023-05-18T10:19:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,63,LOG_TIME,2023-05-18T15:19:38,2023-05-18T10:19:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,64,LOG_TIME,2023-05-18T15:19:39,2023-05-18T10:19:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,65,LOG_TIME,2023-05-18T15:19:40,2023-05-18T10:19:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,66,LOG_TIME,2023-05-18T15:19:41,2023-05-18T10:19:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,67,LOG_TIME,2023-05-18T15:19:42,2023-05-18T10:19:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,68,LOG_TIME,2023-05-18T15:19:43,2023-05-18T10:19:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1007m,12%,843Mi,10%,
kind-worker,222m,2%,327Mi,4%,
kind-worker2,153m,1%,331Mi,4%,
kind-worker3,252m,3%,330Mi,4%,
idx,69,LOG_TIME,2023-05-18T15:19:44,2023-05-18T10:19:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
kind-worker3,240m,3%,330Mi,4%,
idx,70,LOG_TIME,2023-05-18T15:19:45,2023-05-18T10:19:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,977m,12%,842Mi,10%,
kind-worker,242m,3%,333Mi,4%,
kind-worker2,231m,2%,342Mi,4%,
